#,jid,username,name,country,1A,1B,1C,2A,2B,2C,total,medal
38,JIDUSERS5xgGBED46SYdyYWYVum,whzzt,Zhenting Zhu,,100,100,,,,,200,B
38,JIDUSER8dacejd0z167bLk46JcE,wxh010910,Xiuhan Wang,,100,100,,,,,200,B
38,JIDUSER1zXdT49FBsF12JTTmvCS,azaky,Ahmad Zaky,IDN,100,100,,,,,200,B
38,JIDUSERVe5hfk4v6uJAWHWcqeEU,sidiq_ha,Sidiq Tri Pratikto,IDN,100,,,100,,,200,B
38,JIDUSERkvCkbyZO6vhSJEeERuYn,fjzzq2002,zzq,,100,100,,,,,200,B
49,JIDUSERuHQiZEmUbdsGd2ypDDsh,davitmarg,Davit,ARM,100,,,34,,40,174,B
50,JIDUSER8LaYlb7wEj1kg3SrfOPA,tsouza,,,28,41,,100,,,169,B
51,JIDUSERBtsHVGaMJqNfiaswuPxw,miksot,Micheal,,65,41,,,56,,162,B
52,JIDUSERjII7MSKV0pfIHiqFH7Nb,vale979,Valerian Mahdi Pratama,IDN,52,,18,34,20,,124,
53,JIDUSERmsdOif7PMUumdWndLzhQ,hamonangan,Bornyto Hamonangan,IDN,24,20,18,34,0,23,119,
54,JIDUSERtBLc1fPquvnImeqVJfnv,rimbaerlangga,Rimba Erlangga,IDN,29,,29,34,18,7,117,
55,JIDUSERR4Lri0CH8KATiXF2QyGJ,eilx22,mark,,100,,,,,,100,
55,JIDUSERFIiJa8ixqOed6ePM6vPL,Lea_Michele,Lea Michele,,,,,,,100,100,
55,JIDUSERlKO9O3SPnDGlvZCOxSZx,FerroGH,Ferro Geraldi Hardian,,100,,,,,,100,
55,JIDUSER9h6of2flDm4AHiektPmw,IgoRamli,Inigo,IDN,100,,,,,,100,
55,JIDUSER42qWD0mRHUBoQMKZDpAF,krisnadwitama,I Made Krisna Dwitama,IDN,100,0,,,,,100,
55,JIDUSERMtXizjRoZq2ieVgMmd8Y,Boecruiser,Jhoferd Huu,CHN,,,,100,,,100,
55,JIDUSEROzrMv4sXwQ4TbTP1m57w,szawinis,Schwinn,THA,100,,,,,,100,
55,JIDUSERbqR5KXsie9R41Q2mlIQa,ChrisMaxheart,Samuel Henry Kurniawan,IDN,100,0,,,,,100,
63,JIDUSERhyRz01fskYF7Gj2XLnZt,Zafir,Zafir Rasyidi Taufik,,57,10,21,0,,,88,
64,JIDUSERCNbOfXGJxvNxr9lge4T2,rdo,Yusuf T Ardho,,47,20,,,,,67,
65,JIDUSERwCPFoF0Q95jnl9qEbaMP,coderbodoh,Mamat Rahmat,IDN,62,,,,,,62,
66,JIDUSERkeeAF95bYeD6u97mAxzg,rwhendry,Reynaldo Wijaya Hendry,IDN,,,58,,,,58,
67,JIDUSERbdHXQPQXZ0lFetpZ9mDN,ariellariza,ariell ariza,IDN,,,,,54,,54,
68,JIDUSEReXSKfrvGuuniKEoGILuR,ngkan146,Nguyen Khanh,VNM,,,,,52,,52,
69,JIDUSERRipallITAaoXthYYcatc,AnakGanteng,Siapa Hayo,IDN,,,42,,,,42,
69,JIDUSERAx0zz3KNGhT1I2flAqkz,codebie,Windi Chandra,IDN,,,42,,,,42,
71,JIDUSERCHagUTNBilk1En76jF7w,dlonraotnaidra,,,39,,,,,0,39,
72,JIDUSERdU7fpA6XOwxdQhxXQ0ng,Adhy,,,37,,,,,,37,
73,JIDUSERMmSxozaoyZN3QE4THEIe,Bhismania,Gregorius Bhisma,IDN,,,,34,,0,34,
73,JIDUSERBE6LzvYINzS0SI33JLUb,bobbysusanto,Bobby Susanto,IDN,0,,,34,,,34,
73,JIDUSERlmInid8Lmj3Fyv6rdWeq,juancarlovieri3,Juan Carlo Vieri,,0,,,34,,,34,
76,JIDUSER03SoBSUq4BmiNw2AcULk,rahasia,rahasia,IDN,28,,,,,,28,
76,JIDUSERNEuDjN2EVBrTnJEksOUy,platyunyu,gadapetmedali.,,28,,0,,,,28,
78,JIDUSERJnhtIp7YZaOHWzxYQWoI,em.farih,Muhammad Farih,IDN,,,,25,,,25,
78,JIDUSERaKDyI8v4WsGkdIfUTmZ7,FM19,Fikri Haryanto,IDN,,,,25,,0,25,
80,JIDUSERoQA1BTjYnRpRzqYCtXwu,Flaze07,Christian Seiji,IDN,,,,23,,,23,
81,JIDUSERqIdwOQunkktGyqOzmqrw,gagal.osp,A A A A A ISYAH,,,,,,20,,20,
81,JIDUSERlPjPk3xmdYpwsdild5N5,Safira2109,Safira Kirei Nisa,IDN,,20,,,,,20,
83,JIDUSERuA5C7AZ5PeXsL9borEjM,haidar_ihza,,IDN,,,11,,,,11,
83,JIDUSERSHVJTR2dJ9ef64NiMF27,king3903,,,,,11,,,,11,
85,JIDUSERyw19rpcCJ4UZjsDHQjMg,isengg,,,6,,,,,,6,
85,JIDUSERKiRDEllRg7skebP6UReR,halifmuhammad,Muhammad Halif,IDN,6,,,,,,6,
87,JIDUSER5rqJ6nSOw2n5GCNrlL2j,gagah,Gagah Pangeran,IDN,0,,,,,,0,
87,JIDUSERl3m0irbWnEFbsgeyvMyD,abc,abc,,,,,,0,,0,
87,JIDUSERWGNY3ZoT1UcY7pMV9uD4,Agilfuad,Agil Fuad Gumelar,IDN,,,,,0,,0,
87,JIDUSERUKXJk64mycKVtSJDufMa,amrudien,Muhammad Amrudien,IDN,0,,,,,,0,
87,JIDUSERZNwFkN3nvMwhLuATFNBn,Dikachin,Andika Rahim Darusalam,IDN,0,,,,,,0,
87,JIDUSER8OT3LGnvTYDEtSSZwiPh,dimasnaabil,dimas nabil ahmad,IDN,0,,,,,,0,
87,JIDUSER85iNAEW9xc9UGav9szTE,Hyper1905,Muhammad Farhan,IDN,,,,0,,,0,
87,JIDUSERUmKdvCdVCyTTlIfMdFjP,kylo.ren,Wutsqo,IDN,,,,,0,,0,
87,JIDUSERenLJKUDeWTKqlrbm4cxc,mnaufal,Naufal Pratama,IDN,0,,,0,,0,0,
87,JIDUSERySky7EO6krx0uHHJeMa9,wutsq.o,Muhammad Urwatil Wutsqo,IDN,0,,,,,,0,
